epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,136.315,0.56352,3.61449,0.95991,0.0361,0.93204,0.17233,0.15723,0.36204,3.55688,0.79141,9.996e-05,9.996e-05,9.996e-05
2,276.659,0.49831,3.23255,0.90521,0.03063,0.99385,0.28226,0.25445,0.37099,3.49128,0.78985,0.000196811,0.000196811,0.000196811
